column_name,dtype,description
remote_work_exposure_index,float64,state-year exposure index
remote_work_exposure_index_mode,object,derived
remote_work_exposure_index_components,object,derived
in_person_work_exposure_index,float64,state-year exposure index
in_person_work_exposure_index_mode,object,derived
in_person_work_exposure_index_components,object,derived
digital_distraction_index,float64,state-year exposure index
digital_distraction_index_mode,object,derived
digital_distraction_index_components,object,derived
digital_social_index,float64,state-year exposure index
digital_social_index_mode,object,derived
digital_social_index_components,object,derived
in_person_social_index,float64,state-year exposure index
in_person_social_index_mode,object,derived
in_person_social_index_components,object,derived
digital_access_index,float64,state-year exposure index
digital_access_index_mode,object,derived
digital_access_index_components,object,derived
digital_use_prevalence_index,float64,state-year exposure index
digital_use_prevalence_index_mode,object,derived
digital_use_prevalence_index_components,object,derived
commute_burden_index,float64,state-year exposure index
commute_burden_index_mode,object,derived
commute_burden_index_components,object,derived
commute_burden_index_inverse,float64,derived
work_family_compatibility_proxy,float64,state-year exposure index
work_family_compatibility_proxy_mode,object,derived
work_family_compatibility_proxy_components,object,derived
gendered_care_risk_proxy,float64,state-year exposure index
gendered_care_risk_proxy_mode,object,derived
gendered_care_risk_proxy_components,object,derived
controls,object,derived
source_quality_flags,object,derived
remote_work_exposure_index_imputed_flag,int64,transparent imputation flag
remote_work_exposure_index_long_gap_flag,int64,gap remains unfilled
in_person_work_exposure_index_imputed_flag,int64,transparent imputation flag
in_person_work_exposure_index_long_gap_flag,int64,gap remains unfilled
digital_distraction_index_imputed_flag,int64,transparent imputation flag
digital_distraction_index_long_gap_flag,int64,gap remains unfilled
digital_social_index_imputed_flag,int64,transparent imputation flag
digital_social_index_long_gap_flag,int64,gap remains unfilled
in_person_social_index_imputed_flag,int64,transparent imputation flag
in_person_social_index_long_gap_flag,int64,gap remains unfilled
digital_access_index_imputed_flag,int64,transparent imputation flag
digital_access_index_long_gap_flag,int64,gap remains unfilled
digital_use_prevalence_index_imputed_flag,int64,transparent imputation flag
digital_use_prevalence_index_long_gap_flag,int64,gap remains unfilled
commute_burden_index_imputed_flag,int64,transparent imputation flag
commute_burden_index_long_gap_flag,int64,gap remains unfilled
work_family_compatibility_proxy_imputed_flag,int64,transparent imputation flag
work_family_compatibility_proxy_long_gap_flag,int64,gap remains unfilled
gendered_care_risk_proxy_imputed_flag,int64,transparent imputation flag
gendered_care_risk_proxy_long_gap_flag,int64,gap remains unfilled
fertility_rate_imputed_flag,int64,transparent imputation flag
fertility_rate_long_gap_flag,int64,gap remains unfilled
births_imputed_flag,int64,transparent imputation flag
births_long_gap_flag,int64,gap remains unfilled
female_population_15_44_imputed_flag,int64,transparent imputation flag
female_population_15_44_long_gap_flag,int64,gap remains unfilled
total_population_imputed_flag,int64,transparent imputation flag
total_population_long_gap_flag,int64,gap remains unfilled
population_growth_rate_imputed_flag,int64,transparent imputation flag
population_growth_rate_long_gap_flag,int64,gap remains unfilled
labor_force_participation_rate_imputed_flag,int64,transparent imputation flag
labor_force_participation_rate_long_gap_flag,int64,gap remains unfilled
female_employment_rate_imputed_flag,int64,transparent imputation flag
female_employment_rate_long_gap_flag,int64,gap remains unfilled
married_or_partnered_share_state_year_imputed_flag,int64,transparent imputation flag
married_or_partnered_share_state_year_long_gap_flag,int64,gap remains unfilled
remote_work_exposure_index_lag1,float64,lagged feature
remote_work_exposure_index_lag2,float64,lagged feature
remote_work_exposure_index_lag3,float64,lagged feature
remote_work_exposure_index_rolling3,float64,rolling historical average
in_person_work_exposure_index_lag1,float64,lagged feature
in_person_work_exposure_index_lag2,float64,lagged feature
in_person_work_exposure_index_lag3,float64,lagged feature
in_person_work_exposure_index_rolling3,float64,rolling historical average
digital_distraction_index_lag1,float64,lagged feature
digital_distraction_index_lag2,float64,lagged feature
digital_distraction_index_lag3,float64,lagged feature
digital_distraction_index_rolling3,float64,rolling historical average
digital_social_index_lag1,float64,lagged feature
digital_social_index_lag2,float64,lagged feature
digital_social_index_lag3,float64,lagged feature
digital_social_index_rolling3,float64,rolling historical average
in_person_social_index_lag1,float64,lagged feature
in_person_social_index_lag2,float64,lagged feature
in_person_social_index_lag3,float64,lagged feature
in_person_social_index_rolling3,float64,rolling historical average
digital_access_index_lag1,float64,lagged feature
digital_access_index_lag2,float64,lagged feature
digital_access_index_lag3,float64,lagged feature
digital_access_index_rolling3,float64,rolling historical average
digital_use_prevalence_index_lag1,float64,lagged feature
digital_use_prevalence_index_lag2,float64,lagged feature
