geography_level,model,model_label,model_kind,status,status_badge,warning_text,reason_for_label,recommended_default,forecast_clamp_share,forecast_clamp_share_floor,forecast_clamp_share_ceiling,forecast_clamped_heavily,reliable,recommended_for_msa_display,negative_test_r2,train_rmse,train_mae,train_r_squared,train_n_obs,validation_rmse,validation_mae,validation_r_squared,validation_n_obs,test_rmse,test_mae,test_r_squared,test_n_obs,train_years,validation_years,test_years,geography_year_observations,unique_geographies,coverage_share,missing_geography_year_values,render_failures,reference_lower_bound_share,reference_upper_bound_share,reference_boundary_share,peak_reference_boundary_share,peak_reference_boundary_year,scenario_lower_bound_share,scenario_upper_bound_share,scenario_boundary_share,same_bound_zero_share,differentiated_view_share,benchmark_only,use_caution
state,statistical_ridge,Statistical baseline,statistical,RECOMMENDED,Primary State benchmark,"Primary State benchmark. The statistical baseline is transparent, stable, and performs well out of sample.",coverage 100.0%; reference-bound share 0.3%; peak year bound share 2.0%; differentiated views 100.0%; validation RMSE 1.74; test RMSE 1.76; test R^2 0.894; selected as the default benchmark for this geography,True,0.0028011204481792717,0.0028011204481792717,0.0,False,True,False,False,0.6963516337,0.5232928775,0.9860617699,357,1.736331235,1.5374130929,0.8976468204,51,1.7635512622,1.5252106841,0.894412536,51,"[2016, 2017, 2018, 2019, 2020, 2021, 2022]",[2023],[2024],357,51,1.0,0,0,0.0028011204481792717,0.0,0.0028011204481792717,0.0196078431372549,2060,0.0014005602240896359,0.0,0.0014005602240896359,0.0014005602240896359,1.0,False,False
state,tree_gradient_boosting,Tree ML benchmark,tree_ml,AVAILABLE,Available,State robustness benchmark. Tree ML has strong held-out accuracy and is shown as a robustness benchmark rather than the primary State benchmark.,coverage 100.0%; reference-bound share 0.0%; peak year bound share 0.0%; differentiated views 100.0%; validation RMSE 1.47; test RMSE 1.25; test R^2 0.947,False,0.0,0.0,0.0,False,True,False,False,0.0124676321,0.0077417551,0.9999955319,357,1.4741952914,1.3515517257,0.9262187137,51,1.2467656703,1.0622763921,0.9472277205,51,"[2016, 2017, 2018, 2019, 2020, 2021, 2022]",[2023],[2024],357,51,1.0,0,0,0.0,0.0,0.0,0.0,2060,0.0,0.0,0.0,0.0,1.0,False,False
state,temporal_neural_net,Neural network benchmark,neural_network,BENCHMARK ONLY,Benchmark only,"Benchmark only. Useful as a nonlinear robustness check, but not the primary state specification.",coverage 100.0%; reference-bound share 0.0%; peak year bound share 0.0%; differentiated views 100.0%; validation RMSE 1.52; test RMSE 1.26; test R^2 0.946; kept as a robustness benchmark rather than the primary interpretation,False,0.0,0.0,0.0,False,True,False,False,0.5236428219,0.4126716079,0.9921182847,357,1.5236534429,1.3904233596,0.9211850549,51,1.2591323724,1.0844227361,0.9461756291,51,"[2016, 2017, 2018, 2019, 2020, 2021, 2022]",[2023],[2024],357,51,1.0,0,0,0.0,0.0,0.0,0.0,2060,0.0,0.0,0.0,0.0,1.0,True,False
msa,statistical_ridge,Statistical baseline,statistical,USE CAUTION,Use caution for MSA maps,"Use caution for MSA maps. Many MSA forecasts hit the model's lower bound, so maps and rankings may understate differences across places. Some scenario changes also flatten to zero when both paths land on the same bound. Held-out test fit is also weak.",coverage 100.0%; reference-bound share 83.7%; peak year bound share 100.0%; differentiated views 57.1%; validation RMSE 18.05; test RMSE 19.82; test R^2 -0.300,False,0.837386018237082,0.837386018237082,0.0,True,False,False,True,13.5974631277,9.8107369208,0.3680735794,1820,18.0492680268,12.9516677401,-0.0196298044,524,19.8205347549,15.4550113341,-0.2997527347,528,"[2014, 2015, 2016, 2017, 2018, 2019, 2020]","[2021, 2022]","[2023, 2024]",1974,282,1.0,0,0,0.837386018237082,0.0,0.837386018237082,1.0,2060,0.3463779128672746,0.0,0.3463779128672746,0.3463779128672746,0.5714285714285714,False,True
msa,tree_gradient_boosting,Tree ML benchmark,tree_ml,RECOMMENDED,Preferred MSA display model,"Preferred MSA display model. This model preserves metropolitan variation and avoids lower-bound forecast problems. However, MSA forecasts are uncertain and should be interpreted as exploratory spatial patterns, not precise predictions.",coverage 100.0%; reference-bound share 0.0%; peak year bound share 0.0%; differentiated views 75.0%; validation RMSE 17.33; test RMSE 16.83; test R^2 0.063; selected as the default benchmark for this geography,True,0.0,0.0,0.0,False,True,True,False,5.7516255659,4.191779575,0.8869340217,1820,17.329623913,12.1680181403,0.060056803,524,16.8295729401,12.3050299856,0.06292102,528,"[2014, 2015, 2016, 2017, 2018, 2019, 2020]","[2021, 2022]","[2023, 2024]",1974,282,1.0,0,0,0.0,0.0,0.0,0.0,2060,0.0,0.0,0.0,0.0,0.75,False,False
msa,temporal_neural_net,Neural network benchmark,neural_network,USE CAUTION,Use caution for MSA maps,"Use caution for MSA maps. Many MSA forecasts hit the model's lower bound, so maps and rankings may understate differences across places. Some scenario changes also flatten to zero when both paths land on the same bound.",coverage 100.0%; reference-bound share 71.3%; peak year bound share 100.0%; differentiated views 64.3%; validation RMSE 17.05; test RMSE 16.55; test R^2 0.094,False,0.7127659574468085,0.7127659574468085,0.0,True,False,False,False,15.8017513195,11.6526003233,0.1465832168,1820,17.0537523687,11.858369576,0.0897446538,524,16.5477360889,11.8957640753,0.0940438516,528,"[2014, 2015, 2016, 2017, 2018, 2019, 2020]","[2021, 2022]","[2023, 2024]",1974,282,1.0,0,0,0.7127659574468085,0.0,0.7127659574468085,1.0,2060,0.2938196555217832,0.0,0.2938196555217832,0.2938196555217832,0.6428571428571429,False,True
