state_name,state_fips,year,model,scenario,reference_path,scenario_path,scenario_difference,scenario_shift_component,legacy_model_scenario_difference,remote_work_share,remote_work_time_saved,digital_media_minutes_narrow,screen_leisure_minutes_broad,in_person_social_minutes,care_burden_minutes,contribution_remote_work_time_saved,contribution_remote_work_share,contribution_digital_media_minutes_narrow,contribution_screen_leisure_minutes_broad,contribution_in_person_social_minutes,contribution_care_burden_minutes,scenario_adjustment_pre_lag,scenario_adjustment_post_lag,recursive_lag_multiplier,clamping_flag,main_driver,geography_type,state_abbr,model_label,scenario_label,manual_adjustment_component,legacy_model_scenario_path,mechanism_remote_work_flexibility,mechanism_digital_distraction,mechanism_online_matching,mechanism_in_person_social,mechanism_care_burden,sample_size,respondent_count_unweighted,commute_minutes_quality_state_year,commute_minutes_source_state_year,mean_commute_minutes_state_year,reference_care_burden_minutes_state_year,reference_commute_minutes_quality_state_year,reference_commute_minutes_source_state_year,reference_digital_media_minutes_narrow_state_year,reference_household_work_minutes_state_year,reference_in_person_social_minutes_state_year,reference_mean_commute_minutes_state_year,reference_remote_work_share_state_year,reference_remote_work_time_saved_roundtrip_minutes_state_year,reference_sample_size,reference_scenario_name,reference_screen_leisure_minutes_broad_state_year,reference_search_interest_online_dating_state_year,reference_unpaid_care_minutes_state_year,delta_remote_work_time_saved,delta_remote_work_share,reference_remote_work_share,reference_remote_work_time_saved,remote_work_scenario_adjustment_formula,remote_work_scenario_calibration_level,remote_work_scenario_beta_remote,remote_work_time_saved_unit,delta_screen_leisure_minutes_broad,reference_screen_leisure_minutes_broad,delta_digital_media_minutes_narrow,reference_digital_media_minutes_narrow,delta_in_person_social_minutes,reference_in_person_social_minutes,contribution_dating_search_interest,delta_dating_search_interest,dating_search_interest,reference_dating_search_interest,delta_care_burden_minutes,reference_care_burden_minutes
Virginia,51,2035,statistical_ridge,home_centered_digital_life_increases_care_work,52.1179111455,52.035691669,-0.0822194765,-0.0822194765,-0.1876048029,0.0872069554,,,166.6450577225,,172.9200248564,,0.0131487946,,-0.0018108857,,-0.0935573854,-0.0822194765,-0.0822194765,1.0,False,care burden,state,VA,Statistical baseline,More time at home increases care work,0.0,51.9303063426,0.0131487946,0.0,0.0,0.0,-0.0953682711,89404,89404,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",23.1890035501,147.1838918643,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",19.928007148,116.2305524762,33.2617099061,23.1890035501,0.0710219686,3.2938573634,89404,baseline_continuation,162.7824305581,55.0737222222,30.9533393882,,0.0161849868,0.0710219686,,,,,,3.8626271643,162.7824305581,,,,,,,,,25.7361329921,147.1838918643
New Jersey,34,2035,statistical_ridge,home_centered_digital_life_increases_care_work,55.2858509204,55.2052818409,-0.0805690795,-0.0805690795,-0.1250510237,0.0412770561,,,147.9315346446,,183.1820153642,,0.00838016,,-0.0018108857,,-0.0871383538,-0.0805690795,-0.0805690795,1.0,False,care burden,state,NJ,Statistical baseline,More time at home increases care work,0.0,55.1607998968,0.00838016,0.0,0.0,0.0,-0.0889492395,94383,94383,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",32.0788129322,159.2116547901,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",6.492836834,134.4148880993,10.0382441619,32.0788129322,0.0309618307,1.9864375517,94383,baseline_continuation,144.0689074803,72.1048611111,24.7967666908,,0.0103152253,0.0309618307,,,,,,3.8626271643,144.0689074803,,,,,,,,,23.9703605741,159.2116547901
Utah,49,2035,statistical_ridge,home_centered_digital_life_increases_care_work,63.4304354619,63.3503111631,-0.0801242988,-0.0801242988,-0.193747256,0.1103710378,,,185.943591729,,179.3283145699,,0.0149230207,,-0.0018108857,,-0.0932364338,-0.0801242988,-0.0801242988,1.0,False,care burden,state,UT,Statistical baseline,More time at home increases care work,0.0,63.2366882059,0.0149230207,0.0,0.0,0.0,-0.0950473195,36778,36778,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",20.3901992706,153.6804701987,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",16.8457731744,102.1647787578,27.7116631584,20.3901992706,0.0920021377,3.7518838432,36778,baseline_continuation,182.0809645646,87.0508055555,51.515691441,,0.0183689,0.0920021377,,,,,,3.8626271643,182.0809645646,,,,,,,,,25.6478443712,153.6804701987
Montana,30,2035,statistical_ridge,home_centered_digital_life_increases_care_work,55.5940154733,55.5152029092,-0.0788125641,-0.0788125641,-0.0792923153,0.0824401636,,,138.09705908,,164.720184849,,0.0114204818,,-0.0018108857,,-0.0884221601,-0.0788125641,-0.0788125641,1.0,False,care burden,state,MT,Statistical baseline,More time at home increases care work,0.0,55.514723158,0.0114204818,0.0,0.0,0.0,-0.0902330458,11451,11451,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",20.3901992706,140.3966697912,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",-11.862146415,96.7923689419,84.5386058089,20.3901992706,0.0683825748,2.7886686556,11451,baseline_continuation,134.2344319156,52.4865277778,43.6043008493,,0.0140575887,0.0683825748,,,,,,3.8626271643,134.2344319156,,,,,,,,,24.3235150577,140.3966697912
Delaware,10,2035,statistical_ridge,home_centered_digital_life_increases_care_work,53.4165702111,53.3390124833,-0.0775577278,-0.0775577278,-0.1392522376,0.0812490415,,,120.3984049424,,166.6847574386,,0.0120334148,,-0.0018108857,,-0.087780257,-0.0775577278,-0.0775577278,1.0,False,care burden,state,DE,Statistical baseline,More time at home increases care work,0.0,53.2773179735,0.0120334148,0.0,0.0,0.0,-0.0895911427,9876,9876,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",23.1890035501,142.5378196227,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",11.8035982331,114.2361435567,44.9073603897,23.1890035501,0.0664369872,3.0812150636,9876,baseline_continuation,116.535777778,64.0902222222,28.301676066,,0.0148120543,0.0664369872,,,,,,3.8626271643,116.535777778,,,,,,,,,24.1469378159,142.5378196227
Wisconsin,55,2035,statistical_ridge,home_centered_digital_life_increases_care_work,54.5613078903,54.484305116,-0.0770027743,-0.0770027743,-0.0941129086,0.0825466057,,,133.3987673586,,189.8012122101,,0.0116255136,,-0.0018108857,,-0.0868174022,-0.0770027743,-0.0770027743,1.0,False,care burden,state,WI,Statistical baseline,More time at home increases care work,0.0,54.4671949817,0.0116255136,0.0,0.0,0.0,-0.0886282879,62923,62923,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",27.1873166434,165.9191402569,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",28.2385968382,93.4964361999,76.4360323494,27.1873166434,0.0682366411,3.7103423355,62923,baseline_continuation,129.5361401943,59.7913888889,72.422704057,,0.0143099646,0.0682366411,,,,,,3.8626271643,129.5361401943,,,,,,,,,23.8820719532,165.9191402569
Connecticut,09,2035,statistical_ridge,home_centered_digital_life_increases_care_work,49.2079394238,49.1314117872,-0.0765276366,-0.0765276366,-0.1371100801,0.0563650863,,,166.4712135448,,150.8234914617,,0.0098539902,,-0.0018108857,,-0.0845707412,-0.0765276366,-0.0765276366,1.0,False,care burden,state,CT,Statistical baseline,More time at home increases care work,0.0,49.0708293438,0.0098539902,0.0,0.0,0.0,-0.0863816269,37903,37903,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",32.0788129322,127.5594398547,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",7.9271263253,103.5223706895,18.1956203319,32.0788129322,0.0442357082,2.8380580162,37903,baseline_continuation,162.6085863805,76.7677777778,24.0370691652,,0.0121293782,0.0442357082,,,,,,3.8626271643,162.6085863805,,,,,,,,,23.2640516069,127.5594398547
Iowa,19,2035,statistical_ridge,home_centered_digital_life_increases_care_work,59.0078680007,58.9319141367,-0.075953864,-0.075953864,-0.0584969488,0.0668090492,,,183.5962066915,,208.9744099748,,0.0101068113,,-0.0018108857,,-0.0842497896,-0.075953864,-0.075953864,1.0,False,care burden,state,IA,Statistical baseline,More time at home increases care work,0.0,58.9493710519,0.0101068113,0.0,0.0,0.0,-0.0860606753,33759,33759,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",27.1873166434,185.7986469888,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",8.3282330536,171.3836982288,40.6150879246,27.1873166434,0.054368471,2.9562656726,33759,baseline_continuation,179.7335795271,58.5502777778,14.41494876,,0.0124405782,0.054368471,,,,,,3.8626271643,179.7335795271,,,,,,,,,23.175762986,185.7986469888
Pennsylvania,42,2035,statistical_ridge,home_centered_digital_life_increases_care_work,50.9222298757,50.8465195285,-0.0757103472,-0.0757103472,-0.1487756069,0.0837999379,,,109.9839078894,,119.051778256,,0.0122760376,,-0.0018108857,,-0.0861754991,-0.0757103472,-0.0757103472,1.0,False,care burden,state,PA,Statistical baseline,More time at home increases care work,0.0,50.7734542689,0.0122760376,0.0,0.0,0.0,-0.0879863848,134347,134347,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",32.0788129322,95.3462835445,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",21.996915534,70.2500780245,31.3063995778,32.0788129322,0.0686892366,4.4069383452,134347,baseline_continuation,106.121280725,64.2384722222,25.0962055201,,0.0151107012,0.0686892366,,,,,,3.8626271643,106.121280725,,,,,,,,,23.7054947114,95.3462835445
Nebraska,31,2035,statistical_ridge,home_centered_digital_life_increases_care_work,61.9279769546,61.8527598384,-0.0752171162,-0.0752171162,-0.045986193,0.0610275279,,,99.5676389205,,164.90866611,,0.0095597528,,-0.0018108857,,-0.0829659833,-0.0752171162,-0.0752171162,1.0,False,care burden,state,NE,Statistical baseline,More time at home increases care work,0.0,61.8819907616,0.0095597528,0.0,0.0,0.0,-0.084776869,20537,20537,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",27.1873166434,142.0860576076,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",1.247952421,114.7285197192,60.4909512856,27.1873166434,0.0492603296,2.6785123601,20537,baseline_continuation,95.7050117562,45.0156111111,27.3575378884,,0.0117671983,0.0492603296,,,,,,3.8626271643,95.7050117562,,,,,,,,,22.8226085024,142.0860576076
Arizona,04,2035,statistical_ridge,home_centered_digital_life_increases_care_work,51.5214272843,51.4462291528,-0.0751981315,-0.0751981315,-0.2100324577,0.1215750672,,,190.0008811064,,138.501073488,,0.0156768175,,-0.0018108857,,-0.0890640633,-0.0751981315,-0.0751981315,1.0,False,care burden,state,AZ,Statistical baseline,More time at home increases care work,0.0,51.3113948267,0.0156768175,0.0,0.0,0.0,-0.090874949,75745,75745,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",20.3901992706,114.0009811885,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",5.6034363221,73.9549855973,30.8068952845,20.3901992706,0.102278311,4.1709502844,75745,baseline_continuation,186.138253942,54.7153611111,40.0459955913,,0.0192967562,0.102278311,,,,,,3.8626271643,186.138253942,,,,,,,,,24.5000922995,114.0009811885
North Carolina,37,2035,statistical_ridge,home_centered_digital_life_increases_care_work,52.9757200148,52.9010415731,-0.0746784417,-0.0746784417,-0.1774038845,0.1445953595,,,117.0138691985,,185.2707774304,,0.0165174589,,-0.0018108857,,-0.0893850149,-0.0746784417,-0.0746784417,1.0,False,care burden,state,NC,Statistical baseline,More time at home increases care work,0.0,52.7983161303,0.0165174589,0.0,0.0,0.0,-0.0911959006,114270,114270,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",23.1890035501,160.68239651,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",0.6982822261,127.9219944897,24.0703654334,23.1890035501,0.1242638491,5.763109678,114270,baseline_continuation,113.1512420342,71.644,32.7604020203,,0.0203315104,0.1242638491,,,,,,3.8626271643,113.1512420342,,,,,,,,,24.5883809204,160.68239651
Illinois,17,2035,statistical_ridge,home_centered_digital_life_increases_care_work,52.8101283824,52.7354926627,-0.0746357197,-0.0746357197,-0.1440977622,0.0699274218,,,107.0538986886,,205.7370769139,,0.011104004,,-0.0018108857,,-0.083928838,-0.0746357197,-0.0746357197,1.0,False,care burden,state,IL,Statistical baseline,More time at home increases care work,0.0,52.6660306202,0.011104004,0.0,0.0,0.0,-0.0857397237,128970,128970,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",27.1873166434,182.6496025488,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",17.9882837198,143.6329751626,-13.4378916428,27.1873166434,0.0562593888,3.0590836361,128970,baseline_continuation,103.1912715242,66.0580555556,39.0166273862,,0.013668033,0.0562593888,,,,,,3.8626271643,103.1912715242,,,,,,,,,23.0874743651,182.6496025488
Kansas,20,2035,statistical_ridge,home_centered_digital_life_increases_care_work,58.9404265175,58.8660457616,-0.0743807558,-0.0743807558,-0.0697107762,0.0573152005,,,116.8487531388,,159.7375238651,,0.0094332584,,-0.0018108857,,-0.0820031286,-0.0743807558,-0.0743807558,1.0,False,care burden,state,KS,Statistical baseline,More time at home increases care work,0.0,58.8707157412,0.0094332584,0.0,0.0,0.0,-0.0838140142,30694,30694,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",27.1873166434,137.1797812254,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",11.6166209519,112.4803530352,36.8970529131,27.1873166434,0.0457037054,2.4851222235,30694,baseline_continuation,112.9861259745,56.6657222222,24.6994281902,,0.011611495,0.0457037054,,,,,,3.8626271643,112.9861259745,,,,,,,,,22.5577426397,137.1797812254
