state_name,state_fips,year,model,scenario,reference_path,scenario_path,scenario_difference,scenario_shift_component,legacy_model_scenario_difference,remote_work_share,remote_work_time_saved,digital_media_minutes_narrow,screen_leisure_minutes_broad,in_person_social_minutes,care_burden_minutes,contribution_remote_work_time_saved,contribution_remote_work_share,contribution_digital_media_minutes_narrow,contribution_screen_leisure_minutes_broad,contribution_in_person_social_minutes,contribution_care_burden_minutes,scenario_adjustment_pre_lag,scenario_adjustment_post_lag,recursive_lag_multiplier,clamping_flag,main_driver,geography_type,state_abbr,model_label,scenario_label,manual_adjustment_component,legacy_model_scenario_path,mechanism_remote_work_flexibility,mechanism_digital_distraction,mechanism_online_matching,mechanism_in_person_social,mechanism_care_burden,sample_size,respondent_count_unweighted,commute_minutes_quality_state_year,commute_minutes_source_state_year,mean_commute_minutes_state_year,reference_care_burden_minutes_state_year,reference_commute_minutes_quality_state_year,reference_commute_minutes_source_state_year,reference_digital_media_minutes_narrow_state_year,reference_household_work_minutes_state_year,reference_in_person_social_minutes_state_year,reference_mean_commute_minutes_state_year,reference_remote_work_share_state_year,reference_remote_work_time_saved_roundtrip_minutes_state_year,reference_sample_size,reference_scenario_name,reference_screen_leisure_minutes_broad_state_year,reference_search_interest_online_dating_state_year,reference_unpaid_care_minutes_state_year,delta_remote_work_time_saved,delta_remote_work_share,reference_remote_work_share,reference_remote_work_time_saved,remote_work_scenario_adjustment_formula,remote_work_scenario_calibration_level,remote_work_scenario_beta_remote,remote_work_time_saved_unit,delta_screen_leisure_minutes_broad,reference_screen_leisure_minutes_broad,delta_digital_media_minutes_narrow,reference_digital_media_minutes_narrow,delta_in_person_social_minutes,reference_in_person_social_minutes,contribution_dating_search_interest,delta_dating_search_interest,dating_search_interest,reference_dating_search_interest,delta_care_burden_minutes,reference_care_burden_minutes
Georgia,13,2035,statistical_ridge,online_life_helps_matching,56.1829950224,56.2401795806,0.0571845582,0.0571845582,0.0114436792,,,,,,,,,,,,,0.0571845582,0.0571845582,1.0,False,online matching / digital social life,state,GA,Statistical baseline,Online life helps matching,0.0,56.1944387016,0.0,0.0,0.0571845582,0.0,0.0,111824,111824,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",23.1890035501,133.3335522041,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",10.436133699,85.5593806119,55.1601510712,23.1890035501,0.1032330082,4.7877411893,111824,baseline_continuation,101.1891929423,60.3840555556,47.7741715922,,,,,,,,,,,,,,,0.0571845582,3.5812071852,63.9652627408,60.3840555556,,
Maryland,24,2035,statistical_ridge,online_life_helps_matching,52.280607961,52.3380568546,0.0574488936,0.0574488936,0.0109783254,,,,,,,,,,,,,0.0574488936,0.0574488936,1.0,False,online matching / digital social life,state,MD,Statistical baseline,Online life helps matching,0.0,52.2915862864,0.0,0.0,0.0574488936,0.0,0.0,62777,62777,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",23.1890035501,167.9182553542,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",7.2853295996,149.7166621858,15.1722357241,23.1890035501,0.0486440976,2.2560163025,62777,baseline_continuation,165.1733856834,61.9813611111,18.2015931684,,,,,,,,,,,,,,,0.0574488936,3.5977613016,65.5791224127,61.9813611111,,
Oklahoma,40,2035,statistical_ridge,online_life_helps_matching,58.8940856526,58.9517988816,0.057713229,0.057713229,0.0116186436,,,,,,,,,,,,,0.057713229,0.057713229,1.0,False,online matching / digital social life,state,OK,Statistical baseline,Online life helps matching,0.0,58.9057042962,0.0,0.0,0.057713229,0.0,0.0,39219,39219,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",23.1890035501,130.1916301974,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",7.5921427071,108.4561031132,44.9146247072,23.1890035501,0.070679452,3.2779721272,39219,baseline_continuation,109.5166852347,59.0133333333,21.7355270843,,,,,,,,,,,,,,,0.057713229,3.6143154181,62.6276487514,59.0133333333,,
Arizona,04,2035,statistical_ridge,online_life_helps_matching,51.5214272843,51.5794048487,0.0579775644,0.0579775644,0.0115763162,,,,,,,,,,,,,0.0579775644,0.0579775644,1.0,False,online matching / digital social life,state,AZ,Statistical baseline,Online life helps matching,0.0,51.5330036005,0.0,0.0,0.0579775644,0.0,0.0,75745,75745,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",20.3901992706,114.0009811885,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",5.6034363221,73.9549855973,30.8068952845,20.3901992706,0.102278311,4.1709502844,75745,baseline_continuation,186.138253942,54.7153611111,40.0459955913,,,,,,,,,,,,,,,0.0579775644,3.6308695345,58.3462306456,54.7153611111,,
Ohio,39,2035,statistical_ridge,online_life_helps_matching,55.9716993312,56.0304699018,0.0587705706,0.0587705706,0.0111561171,,,,,,,,,,,,,0.0587705706,0.0587705706,1.0,False,online matching / digital social life,state,OH,Statistical baseline,Online life helps matching,0.0,55.9828554483,0.0,0.0,0.0587705706,0.0,0.0,122052,122052,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",27.1873166434,126.2904245816,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",-10.3482320138,98.8452024263,31.9546745377,27.1873166434,0.0762127436,4.144039984,122052,baseline_continuation,15.6682077336,61.6491388889,27.4452221553,,,,,,,,,,,,,,,0.0587705706,3.6805318837,65.3296707726,61.6491388889,,
Kentucky,21,2035,statistical_ridge,online_life_helps_matching,55.6555440938,55.7148433352,0.0592992414,0.0592992414,0.0119027526,,,,,,,,,,,,,0.0592992414,0.0592992414,1.0,False,online matching / digital social life,state,KY,Statistical baseline,Online life helps matching,0.0,55.6674468464,0.0,0.0,0.0592992414,0.0,0.0,47941,47941,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",23.1890035501,42.2311085945,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",1.2042436418,33.3456841041,96.4729157159,23.1890035501,0.0520052124,2.4118981081,47941,baseline_continuation,36.2307633812,64.4424166667,8.8854244904,,,,,,,,,,,,,,,0.0592992414,3.7136401166,68.1560567832,64.4424166667,,
Rhode Island,44,2035,statistical_ridge,online_life_helps_matching,47.4372097518,47.4965089932,0.0592992414,0.0592992414,0.0111651288,,,,,,,,,,,,,0.0592992414,0.0592992414,1.0,False,online matching / digital social life,state,RI,Statistical baseline,Online life helps matching,0.0,47.4483748806,0.0,0.0,0.0592992414,0.0,0.0,10239,10239,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",32.0788129322,128.4007136593,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",-0.1079794049,103.615288502,31.8299146988,32.0788129322,0.0754566893,4.8411220402,10239,baseline_continuation,149.2167434968,64.5291388889,24.7854251573,,,,,,,,,,,,,,,0.0592992414,3.7136401166,68.2427790055,64.5291388889,,
Arkansas,05,2035,statistical_ridge,online_life_helps_matching,56.2511323016,56.310431543,0.0592992414,0.0592992414,0.0121837521,,,,,,,,,,,,,0.0592992414,0.0592992414,1.0,False,online matching / digital social life,state,AR,Statistical baseline,Online life helps matching,0.0,56.2633160537,0.0,0.0,0.0592992414,0.0,0.0,32279,32279,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",23.1890035501,130.7371136029,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",4.2920994273,108.5257673824,50.0294203376,23.1890035501,0.1047794318,4.8594612326,32279,baseline_continuation,104.0166131017,43.6968333333,22.2113462204,,,,,,,,,,,,,,,0.0592992414,3.7136401166,47.4104734499,43.6968333333,,
Illinois,17,2035,statistical_ridge,online_life_helps_matching,52.8101283824,52.8696919592,0.0595635768,0.0595635768,0.0112897722,,,,,,,,,,,,,0.0595635768,0.0595635768,1.0,False,online matching / digital social life,state,IL,Statistical baseline,Online life helps matching,0.0,52.8214181545,0.0,0.0,0.0595635768,0.0,0.0,128970,128970,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",27.1873166434,182.6496025488,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",17.9882837198,143.6329751626,-13.4378916428,27.1873166434,0.0562593888,3.0590836361,128970,baseline_continuation,103.1912715242,66.0580555556,39.0166273862,,,,,,,,,,,,,,,0.0595635768,3.730194233,69.7882497885,66.0580555556,,
Texas,48,2035,statistical_ridge,online_life_helps_matching,58.6732551777,58.7328187545,0.0595635768,0.0595635768,0.0126545543,,,,,,,,,,,,,0.0595635768,0.0595635768,1.0,False,online matching / digital social life,state,TX,Statistical baseline,Online life helps matching,0.0,58.685909732,0.0,0.0,0.0595635768,0.0,0.0,292272,292272,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",23.1890035501,147.1357125105,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",6.5304498415,127.1491075708,48.8542119529,23.1890035501,0.0759543412,3.5226109745,292272,baseline_continuation,160.8331165194,54.2386111111,19.9866049397,,,,,,,,,,,,,,,0.0595635768,3.730194233,57.9688053441,54.2386111111,,
