state_name,state_fips,year,model,scenario,reference_path,scenario_path,scenario_difference,scenario_shift_component,legacy_model_scenario_difference,remote_work_share,remote_work_time_saved,digital_media_minutes_narrow,screen_leisure_minutes_broad,in_person_social_minutes,care_burden_minutes,contribution_remote_work_time_saved,contribution_remote_work_share,contribution_digital_media_minutes_narrow,contribution_screen_leisure_minutes_broad,contribution_in_person_social_minutes,contribution_care_burden_minutes,scenario_adjustment_pre_lag,scenario_adjustment_post_lag,recursive_lag_multiplier,clamping_flag,main_driver,geography_type,state_abbr,model_label,scenario_label,manual_adjustment_component,legacy_model_scenario_path,mechanism_remote_work_flexibility,mechanism_digital_distraction,mechanism_online_matching,mechanism_in_person_social,mechanism_care_burden,sample_size,respondent_count_unweighted,commute_minutes_quality_state_year,commute_minutes_source_state_year,mean_commute_minutes_state_year,reference_care_burden_minutes_state_year,reference_commute_minutes_quality_state_year,reference_commute_minutes_source_state_year,reference_digital_media_minutes_narrow_state_year,reference_household_work_minutes_state_year,reference_in_person_social_minutes_state_year,reference_mean_commute_minutes_state_year,reference_remote_work_share_state_year,reference_remote_work_time_saved_roundtrip_minutes_state_year,reference_sample_size,reference_scenario_name,reference_screen_leisure_minutes_broad_state_year,reference_search_interest_online_dating_state_year,reference_unpaid_care_minutes_state_year,delta_remote_work_time_saved,delta_remote_work_share,reference_remote_work_share,reference_remote_work_time_saved,remote_work_scenario_adjustment_formula,remote_work_scenario_calibration_level,remote_work_scenario_beta_remote,remote_work_time_saved_unit,delta_screen_leisure_minutes_broad,reference_screen_leisure_minutes_broad,delta_digital_media_minutes_narrow,reference_digital_media_minutes_narrow,delta_in_person_social_minutes,reference_in_person_social_minutes,contribution_dating_search_interest,delta_dating_search_interest,dating_search_interest,reference_dating_search_interest,delta_care_burden_minutes,reference_care_burden_minutes
Louisiana,22,2035,statistical_ridge,remote_work_saves_time,57.0991086294,57.2030671126,0.1039584832,0.1039584832,-0.4547196699,0.0964421366,4.4727940965,,,,,0.1039584832,,,,,,0.1039584832,0.1039584832,1.0,False,remote-work time saved,state,LA,Statistical baseline,Remote work saves time,0.0,56.6443889595,0.1039584832,0.0,0.0,0.0,0.0,45983,45983,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",23.1890035501,77.7477189088,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",13.972146164,71.7321965351,49.9486634946,23.1890035501,0.0749364854,3.4754048518,45983,baseline_continuation,142.6771838419,67.9771944444,6.0155223737,0.9973892447,0.0215056512,0.0749364854,3.4754048518,delta_remote_work_time_saved_only,conservative,0.256923795,average round-trip commute minutes saved per employed worker per workday,,,,,,,,,,,,
Maryland,24,2035,statistical_ridge,remote_work_saves_time,52.280607961,52.3851377679,0.1045298069,0.1045298069,-0.7588347104,0.0702679372,3.2588868902,,,,,0.1045298069,,,,,,0.1045298069,0.1045298069,1.0,False,remote-work time saved,state,MD,Statistical baseline,Remote work saves time,0.0,51.5217732506,0.1045298069,0.0,0.0,0.0,0.0,62777,62777,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",23.1890035501,167.9182553542,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",7.2853295996,149.7166621858,15.1722357241,23.1890035501,0.0486440976,2.2560163025,62777,baseline_continuation,165.1733856834,61.9813611111,18.2015931684,1.0028705877,0.0216238396,0.0486440976,2.2560163025,delta_remote_work_time_saved_only,conservative,0.256923795,average round-trip commute minutes saved per employed worker per workday,,,,,,,,,,,,
Kansas,20,2035,statistical_ridge,remote_work_saves_time,58.9404265175,59.0459551436,0.1055286261,0.1055286261,-0.5309481164,0.0643236631,3.4975755934,,,,,0.1055286261,,,,,,0.1055286261,0.1055286261,1.0,False,remote-work time saved,state,KS,Statistical baseline,Remote work saves time,0.0,58.409478401,0.1055286261,0.0,0.0,0.0,0.0,30694,30694,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",27.1873166434,137.1797812254,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",11.6166209519,112.4803530352,36.8970529131,27.1873166434,0.0457037054,2.4851222235,30694,baseline_continuation,112.9861259745,56.6657222222,24.6994281902,1.0124533698,0.0186199577,0.0457037054,2.4851222235,delta_remote_work_time_saved_only,conservative,0.256923795,average round-trip commute minutes saved per employed worker per workday,,,,,,,,,,,,
Oklahoma,40,2035,statistical_ridge,remote_work_saves_time,58.8940856526,59.0003016407,0.1062159881,0.1062159881,-0.5224712092,0.092652108,4.2970201242,,,,,0.1062159881,,,,,,0.1062159881,0.1062159881,1.0,False,remote-work time saved,state,OK,Statistical baseline,Remote work saves time,0.0,58.3716144434,0.1062159881,0.0,0.0,0.0,0.0,39219,39219,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",23.1890035501,130.1916301974,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",7.5921427071,108.4561031132,44.9146247072,23.1890035501,0.070679452,3.2779721272,39219,baseline_continuation,109.5166852347,59.0133333333,21.7355270843,1.019047997,0.021972656,0.070679452,3.2779721272,delta_remote_work_time_saved_only,conservative,0.256923795,average round-trip commute minutes saved per employed worker per workday,,,,,,,,,,,,
Alabama,01,2035,statistical_ridge,remote_work_saves_time,53.4121034101,53.5187160688,0.1066126587,0.1066126587,-0.4941975473,0.0961133218,4.4575443202,,,,,0.1066126587,,,,,,0.1066126587,0.1066126587,1.0,False,remote-work time saved,state,AL,Statistical baseline,Remote work saves time,0.0,52.9179058628,0.1066126587,0.0,0.0,0.0,0.0,53710,53710,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",23.1890035501,72.3589905758,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",-9.3274501121,92.243453524,24.9708566893,23.1890035501,0.0740586074,3.4346906212,53710,baseline_continuation,60.3553710039,67.6843611111,-19.8844629482,1.022853699,0.0220547144,0.0740586074,3.4346906212,delta_remote_work_time_saved_only,conservative,0.256923795,average round-trip commute minutes saved per employed worker per workday,,,,,,,,,,,,
Nebraska,31,2035,statistical_ridge,remote_work_saves_time,61.9279769546,62.0348790195,0.1069020649,0.1069020649,-0.5118525519,0.0681226232,3.7041426543,,,,,0.1069020649,,,,,,0.1069020649,0.1069020649,1.0,False,remote-work time saved,state,NE,Statistical baseline,Remote work saves time,0.0,61.4161244027,0.1069020649,0.0,0.0,0.0,0.0,20537,20537,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",27.1873166434,142.0860576076,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",1.247952421,114.7285197192,60.4909512856,27.1873166434,0.0492603296,2.6785123601,20537,baseline_continuation,95.7050117562,45.0156111111,27.3575378884,1.0256302942,0.0188622935,0.0492603296,2.6785123601,delta_remote_work_time_saved_only,conservative,0.256923795,average round-trip commute minutes saved per employed worker per workday,,,,,,,,,,,,
Michigan,26,2035,statistical_ridge,remote_work_saves_time,52.7520713165,52.8591527721,0.1070814556,0.1070814556,-0.5383859112,0.067378617,3.66368759,,,,,0.1070814556,,,,,,0.1070814556,0.1070814556,1.0,False,remote-work time saved,state,MI,Statistical baseline,Remote work saves time,0.0,52.2136854053,0.1070814556,0.0,0.0,0.0,0.0,102725,102725,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",27.1873166434,139.1682184497,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",4.7716369926,102.6388684005,42.03084746,27.1873166434,0.0484846709,2.6363362016,102725,baseline_continuation,151.7752624896,72.7231388889,36.5293500492,1.0273513884,0.0188939461,0.0484846709,2.6363362016,delta_remote_work_time_saved_only,conservative,0.256923795,average round-trip commute minutes saved per employed worker per workday,,,,,,,,,,,,
Washington,53,2035,statistical_ridge,remote_work_saves_time,52.1911058933,52.2982097521,0.1071038588,0.1071038588,-0.7841351972,0.0898554256,3.6643400682,,,,,0.1071038588,,,,,,0.1071038588,0.1071038588,1.0,False,remote-work time saved,state,WA,Statistical baseline,Remote work saves time,0.0,51.4069706962,0.1071038588,0.0,0.0,0.0,0.0,82905,82905,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",20.3901992706,174.8228397729,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",14.008563365,113.0325462321,3.5365161254,20.3901992706,0.0646578708,2.6367737411,82905,baseline_continuation,101.0934615733,66.4407222222,61.7902935409,1.0275663272,0.0251975548,0.0646578708,2.6367737411,delta_remote_work_time_saved_only,conservative,0.256923795,average round-trip commute minutes saved per employed worker per workday,,,,,,,,,,,,
Indiana,18,2035,statistical_ridge,remote_work_saves_time,56.9727374561,57.0810362522,0.1082987961,0.1082987961,-0.5010516173,0.0709171278,3.8560928179,,,,,0.1082987961,,,,,,0.1082987961,0.1082987961,1.0,False,remote-work time saved,state,IN,Statistical baseline,Remote work saves time,0.0,56.4716858388,0.1082987961,0.0,0.0,0.0,0.0,71108,71108,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",27.1873166434,128.3919832632,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",7.312467657,126.0602877378,45.7376578341,27.1873166434,0.0518083886,2.8170621288,71108,baseline_continuation,136.8759598959,48.1095,2.3316955254,1.0390306891,0.0191087392,0.0518083886,2.8170621288,delta_remote_work_time_saved_only,conservative,0.256923795,average round-trip commute minutes saved per employed worker per workday,,,,,,,,,,,,
West Virginia,54,2035,statistical_ridge,remote_work_saves_time,51.3121476259,51.4222115203,0.1100638945,0.1100638945,-0.4967541254,0.1002684443,4.6502506198,,,,,0.1100638945,,,,,,0.1100638945,0.1100638945,1.0,False,remote-work time saved,state,WV,Statistical baseline,Remote work saves time,0.0,50.8153935005,0.1100638945,0.0,0.0,0.0,0.0,18460,18460,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",23.1890035501,129.649934491,region_fallback,"Filled from a region-year commute proxy built from ATUS commuting minutes, rescaled so the national mean matches the 25-minute dashboard anchor.",-1.8375333504,108.4271572943,65.6513014589,23.1890035501,0.0774997807,3.5942853812,18460,baseline_continuation,93.8005584722,46.6358055556,21.2227771967,1.0559652387,0.0227686635,0.0774997807,3.5942853812,delta_remote_work_time_saved_only,conservative,0.256923795,average round-trip commute minutes saved per employed worker per workday,,,,,,,,,,,,
